antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bacharelado em Sistemas de Informação - C200380893402'}),frozenset({'Aprovado'}),0.008688097306689836,0.27628149435273675,0.0034752389226759338,0.39999999999999997,1.4477987421383647,1.0,0.0010748784157016788,1.2061975094121054,0.31200701139351444,0.012345679012345678,0.17094837935174065,0.2062893081761006
frozenset({'Bacharelado em Sistemas de Informação - C380148200685'}),frozenset({'Aprovado'}),0.016507384882710686,0.27628149435273675,0.005212858384013901,0.31578947368421056,1.1429990069513407,1.0,0.0006521734207628168,1.0577424313306156,0.12720848056537107,0.01812688821752266,0.054590257155493836,0.16732869910625622
frozenset({'Bacharelado em Sistemas de Informação - C402380642148'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,1.0,0.0003887376292741325,1.4474370112945265,0.4482158398607485,0.003134796238244514,0.30912364945978393,0.25157232704402516
frozenset({'Bacharelado em Sistemas de Informação - E200380461148'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,1.0,0.0003887376292741325,1.4474370112945265,0.4482158398607485,0.003134796238244514,0.30912364945978393,0.25157232704402516
frozenset({'Bacharelado em Sistemas de Informação - E681200461218'}),frozenset({'Aprovado'}),0.008688097306689836,0.27628149435273675,0.0026064291920069507,0.3,1.0858490566037735,1.0,0.00020606868503269572,1.0338835794960903,0.07975460122699395,0.00923076923076923,0.032773109243697474,0.15471698113207547
frozenset({'Bacharelado em Sistemas de Informação - E978402380148'}),frozenset({'Aprovado'}),0.010425716768027803,0.27628149435273675,0.0034752389226759338,0.3333333333333333,1.2064989517819706,1.0,0.0005948063143068278,1.0855777584708948,0.17295873573309917,0.012269938650306749,0.0788315326130452,0.17295597484276728
frozenset({'Bacharelado em Sistemas de Informação - I200380893402'}),frozenset({'Aprovado'}),0.007819287576020852,0.27628149435273675,0.0034752389226759338,0.44444444444444436,1.6086652690426273,1.0,0.0013149144663991042,1.3026933101650737,0.3813485113835376,0.012383900928792569,0.23235961051087092,0.2285115303983228
frozenset({'Ciência da Computação - Bacharelado - A292200218320'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,1.0,0.0005374392078508394,1.2061975094121054,0.3106457242582897,0.006230529595015576,0.17094837935174065,0.2031446540880503
frozenset({'Ciência da Computação - Bacharelado - B200380461148'}),frozenset({'Aprovado'}),0.0034752389226759338,0.27628149435273675,0.0017376194613379669,0.5,1.809748427672956,1.0,0.000777475258548265,1.4474370112945265,0.4489973844812555,0.00625,0.30912364945978393,0.2531446540880503
frozenset({'Ciência da Computação - Bacharelado - B292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,1.0,0.00014870157857670694,1.0855777584708948,0.17160278745644594,0.003125,0.0788315326130452,0.16823899371069181
frozenset({'Ciência da Computação - Bacharelado - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,1.0,0.00014870157857670694,1.0855777584708948,0.17160278745644594,0.003125,0.0788315326130452,0.16823899371069181
frozenset({'Ciência da Computação - Bacharelado - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,1.0,0.00014870157857670694,1.0855777584708948,0.17160278745644594,0.003125,0.0788315326130452,0.16823899371069181
frozenset({'Ciência da Computação - Bacharelado - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,1.0,0.00014870157857670694,1.0855777584708948,0.17160278745644594,0.003125,0.0788315326130452,0.16823899371069181
frozenset({'Ciência da Computação - Bacharelado - C218200683888'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0026064291920069507,0.5,1.809748427672956,1.0,0.0011662128878223977,1.4474370112945265,0.44978165938864634,0.009345794392523364,0.30912364945978393,0.25471698113207547
frozenset({'Ciência da Computação - Bacharelado - C292200218642'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,1.0,0.0005374392078508394,1.2061975094121054,0.3106457242582897,0.006230529595015576,0.17094837935174065,0.2031446540880503
frozenset({'Ciência da Computação - Bacharelado - C380148200685'}),frozenset({'Aprovado'}),0.013032145960034752,0.27628149435273675,0.005212858384013901,0.4000000000000001,1.4477987421383651,1.0,0.001612317623552519,1.2061975094121058,0.3133802816901409,0.01834862385321101,0.17094837935174081,0.20943396226415098
frozenset({'Ciência da Computação - Bacharelado - C888148218402'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,1.0,0.0003887376292741325,1.4474370112945265,0.4482158398607485,0.003134796238244514,0.30912364945978393,0.25157232704402516
frozenset({'Ciência da Computação - Bacharelado - C946200380402'}),frozenset({'Aprovado'}),0.007819287576020852,0.27628149435273675,0.0026064291920069507,0.3333333333333333,1.2064989517819706,1.0,0.00044610473573012104,1.0855777584708948,0.17250437828371282,0.009259259259259259,0.0788315326130452,0.17138364779874213
